codigo,cuenta,grupo,tipo,naturaleza,moneda,fondo,descripcion
1.1.04.06,Fondo de Autogestión Gremial - USD/USDT,Activo,AC,D,USD,Autogestion,Excedentes de eventos propios en divisas/crypto.
1.1.04.07,Fondo de Ahorro y Operaciones - Bs,Activo,AC,D,Bs,Operaciones,Reservas de ahorro y operaciones de la asociación en bolívares.
1.1.04.08,Fondo de Ahorro y Operaciones - USD/USDT,Activo,AC,D,USD,Operaciones,Reservas de ahorro y operaciones en divisas/crypto.
1.2.00.00,ACTIVO NO CORRIENTE,Activo,ANC,D,Mixta,NA,Bienes y derechos de permanencia mayor a un año.
1.2.01.00,PROPIEDAD PLANTA Y EQUIPO,Activo,ANC,D,Mixta,NA,Infraestructura y equipamiento institucional.
1.2.01.01,Equipos de sonido e iluminación,Activo,ANC,D,Mixta,General,"Tarimas, sistemas de sonido e iluminación de propiedad del gremio."
1.2.01.02,Instrumentos musicales institucionales,Activo,ANC,D,Mixta,General,Instrumentos propiedad de la asociación.
1.2.01.03,Mobiliario y equipos de oficina,Activo,ANC,D,Mixta,General,Mobiliario de la sede y oficinas.
1.2.01.04,Equipos de computación,Activo,ANC,D,Mixta,General,Computadores y periféricos.
1.2.02.00,(-) DEPRECIACIÓN ACUMULADA,Activo,ANC,A,Mixta,NA,Depreciación acumulada de los activos fijos (cuenta acreedora).
1.2.02.01,(-) Depreciación acumulada de equipos,Activo,ANC,A,Mixta,General,Depreciación acumulada de equipos e infraestructura.
1.2.03.00,OTROS ACTIVOS NO CORRIENTES,Activo,ANC,D,Mixta,NA,Otros activos de largo plazo.
1.2.03.01,Depósitos y fianzas entregadas,Activo,ANC,D,Mixta,General,Depósitos en garantía por arrendamientos o servicios.
1.2.03.02,Derechos y marcas (SAPI),Activo,ANC,D,Mixta,General,Registros de propiedad intelectual y marca ante el SAPI.
1.2.03.03,Criptoactivos de reserva,Activo,ANC,D,USDT,Operaciones,Reservas cripto de largo plazo (Art. 6 Resguardo Patrimonial).
2.0.00.00,PASIVO,Pasivo,PC,A,Mixta,NA,Obligaciones de la asociación con terceros.
2.1.00.00,PASIVO CORRIENTE,Pasivo,PC,A,Mixta,NA,Obligaciones exigibles en menos de un año.
2.1.01.00,CUENTAS Y DOCUMENTOS POR PAGAR,Pasivo,PC,A,Mixta,NA,"Deudas con proveedores, contratistas y agremiados."
2.1.01.01,Proveedores por pagar,Pasivo,PC,A,Mixta,General,Facturas de proveedores pendientes de pago.
2.1.01.02,Honorarios de músicos por pagar,Pasivo,PC,A,Mixta,Autogestion,Honorarios de músicos devengados pendientes de pago (se pagan 100% y primero).
2.1.01.03,Contratistas y staff técnico por pagar,Pasivo,PC,A,Mixta,Autogestion,"Staff técnico (sonido, luces, tarimas) pendiente de pago."
2.1.01.04,Aportes y cuotas por devolver,Pasivo,PC,A,Mixta,General,Reintegros a agremiados o terceros por pagar.
2.1.02.00,OBLIGACIONES FISCALES Y LEGALES,Pasivo,PC,A,Mixta,NA,Obligaciones tributarias y tasas.
2.1.02.01,ISLR por pagar,Pasivo,PC,A,Bs,General,Impuesto sobre la renta retenido o por declarar.
2.1.02.02,IGTF por pagar,Pasivo,PC,A,Bs,General,Impuesto a las Grandes Transacciones Financieras.
2.1.02.03,IVA / Retenciones por pagar,Pasivo,PC,A,Bs,General,Retenciones de IVA por enterar.
2.1.02.04,Tasas y contribuciones por pagar,Pasivo,PC,A,Mixta,General,Tasas municipales y otros tributos.
2.1.03.00,OBLIGACIONES LABORALES,Pasivo,PC,A,Mixta,NA,Obligaciones con el personal de la asociación.
2.1.03.01,Prestaciones sociales por pagar,Pasivo,PC,A,Mixta,General,Prestaciones sociales acumuladas del personal.
2.1.03.02,Vacaciones y utilidades por pagar,Pasivo,PC,A,Mixta,General,Beneficios laborales por pagar.
2.2.00.00,PASIVO NO CORRIENTE,Pasivo,PNC,A,Mixta,NA,Obligaciones de largo plazo.
2.2.01.00,PRÉSTAMOS POR PAGAR,Pasivo,PNC,A,Mixta,General,Préstamos a largo plazo.
2.2.01.01,Préstamos bancarios por pagar,Pasivo,PNC,A,Mixta,General,Deuda bancaria de largo plazo.
2.2.01.02,Préstamos de terceros por pagar,Pasivo,PNC,A,Mixta,General,Deuda con personas naturales o jurídicas.
3.0.00.00,PATRIMONIO,Patrimonio,P,A,Mixta,NA,Patrimonio social y resultados acumulados del gremio.
3.1.00.00,FONDO SOCIAL,Patrimonio,P,A,Mixta,NA,Aportes fundacionales y patrimonio inicial.
3.1.01.00,Aporte fundacional de los miembros fundadores,Patrimonio,P,A,Mixta,General,Aportes iniciales de los 7 fundadores.
3.1.02.00,Donaciones patrimoniales capitalizadas,Patrimonio,P,A,Mixta,General,Donaciones destinadas a capitalizarse.
3.2.00.00,RESULTADOS,Patrimonio,P,A,Mixta,NA,Resultados acumulados y del ejercicio.
3.2.01.00,Excedente (déficit) del ejercicio,Patrimonio,P,A,Mixta,NA,Resultado del ejercicio en curso. Sin fines de lucro: los excedentes se reinvierten en el objeto social.
3.2.02.00,Excedentes acumulados de ejercicios anteriores,Patrimonio,P,A,Mixta,NA,Resultados de ejercicios previos pendientes de aplicación.
3.3.00.00,FONDOS PATRIMONIALES RESTRINGIDOS,Patrimonio,P,A,Mixta,NA,Contrapartida patrimonial de los fondos con destinación específica (Art. 4 Reglamento Contraloría: destinos cerrados).
3.3.01.00,Fondo patrimonial Cuotas de Membresía,Patrimonio,P,A,Mixta,Membresia,Contrapartida del Fondo de Cuotas de Membresía.
3.3.02.00,Fondo patrimonial Salud y Emergencias,Patrimonio,P,A,Mixta,Salud,Contrapartida del Fondo de Salud y Emergencias.
3.3.03.00,Fondo patrimonial Autogestión Gremial,Patrimonio,P,A,Mixta,Autogestion,Contrapartida del Fondo de Autogestión Gremial.
3.3.04.00,Fondo patrimonial Ahorro y Operaciones,Patrimonio,P,A,Mixta,Operaciones,Contrapartida del Fondo de Ahorro y Operaciones.
3.4.00.00,RESERVAS,Patrimonio,P,A,Mixta,NA,Reservas constituidas por disposición estatutaria o de Asamblea.
3.4.01.00,Reserva multimoneda (Fondo de Salud),Patrimonio,P,A,USD,Salud,Reserva equivalente al 50% del Fondo de Salud en moneda extranjera o USDT (Art. 6.d / Reglamento Contraloría Art. 5.2).
3.4.02.00,Reserva de contingencia,Patrimonio,P,A,Mixta,Operaciones,Reserva para imprevistos operativos.
3.4.03.00,Reserva de reinversión en el objeto social,Patrimonio,P,A,Mixta,General,"Excedentes comprometidos para reinversión (talleres, eventos, bienestar)."
4.0.00.00,INGRESOS,Ingresos,I,A,Mixta,NA,Recursos que incrementan el patrimonio del gremio.
4.1.00.00,INGRESOS POR CUOTAS Y APORTES,Ingresos,I,A,Mixta,NA,Cuotas y aportes de los agremiados (Art. 5 y 6 Estatutos).
4.1.01.00,Cuotas de membresía,Ingresos,I,A,USDT,Membresia,Cuotas de los asociados indexadas al dólar USDT (Art. 6.c / Reglamento Contraloría Art. 5.3).
4.1.01.01,Cuota de inscripción (ingreso),Ingresos,I,A,USDT,Membresia,Pago único de ingreso al gremio.
4.1.01.02,Cuota mensual de membresía,Ingresos,I,A,USDT,Membresia,Cuota mensual de funcionamiento (Art. 19.3 Estatutos).
4.1.01.03,Cuotas extraordinarias,Ingresos,I,A,USDT,Membresia,Cuotas especiales aprobadas en Asamblea.
4.1.02.00,Aportes de asociados,Ingresos,I,A,Mixta,General,Aportes voluntarios o acordados de los agremiados.
4.1.03.00,Reintegros y recuperaciones,Ingresos,I,A,Mixta,General,Reintegros de gastos y recuperación de fondos.
4.2.00.00,INGRESOS POR ACTIVIDADES DE AUTOGESTIÓN,Ingresos,I,A,Mixta,NA,Ingresos de eventos y actividades propias de PROMUF (Art. 6-A y Art. 2 Estatutos).
4.2.01.00,Eventos propios de PROMUF,Ingresos,I,A,Mixta,Autogestion,Eventos organizados o producidos por el gremio.
4.2.01.01,Taquilla y entradas,Ingresos,I,A,Mixta,Autogestion,Venta de entradas a eventos propios.
4.2.01.02,Patrocinios de eventos,Ingresos,I,A,Mixta,Autogestion,Patrocinios de empresas para eventos propios.
4.2.01.03,Alquiler de espacios en eventos,Ingresos,I,A,Mixta,Autogestion,"Venta de stands, espacios publicitarios o mesas."
4.2.01.04,Servicios de producción y sonido,Ingresos,I,A,Mixta,Autogestion,"Producción, sonido e iluminación a terceros."
4.2.02.00,Academia PROMUF y formación,Ingresos,I,A,Mixta,Autogestion,"Talleres, cursos y certificaciones formativas (Art. 2.d Estatutos)."
4.2.02.01,Inscripciones a talleres y cursos,Ingresos,I,A,Mixta,Autogestion,Inscripciones a la Academia PROMUF.
4.2.02.02,Certificaciones y constancias,Ingresos,I,A,Mixta,Autogestion,Emisión de certificados de formación.
4.2.03.00,Avales y sellos de certificación,Ingresos,I,A,Mixta,Autogestion,Certificaciones del Comité Técnico (Sello de Calidad PROMUF).
4.2.03.01,Sello de Calidad PROMUF,Ingresos,I,A,USD,Autogestion,Emisión del Sello de Calidad (Art. 6 Reglamento Comité Técnico).
4.2.03.02,Certificaciones de idoneidad,Ingresos,I,A,USD,Autogestion,"Evaluación y certificación de músicos, agrupaciones y staff."
4.2.03.03,Avales gremiales,Ingresos,I,A,USD,Autogestion,Aval institucional a agrupaciones y directorio comercial (Art. 2.c Estatutos).
4.2.04.00,Publicidad y marketing,Ingresos,I,A,Mixta,Autogestion,"Publicidad en canales del gremio (Instagram, Telegram, web, eventos)."
4.2.05.00,Comercialización de materiales e instrumentos,Ingresos,I,A,Mixta,Autogestion,"Venta de libros, discos, materiales e instrumentos (Art. 2 Estatutos)."
4.3.00.00,DONACIONES Y SUBSIDIOS,Ingresos,I,A,Mixta,NA,Donaciones y subsidios recibidos (Art. 5 Estatutos).
4.3.01.00,Donaciones de personas naturales,Ingresos,I,A,Mixta,General,Donaciones de personas naturales.
4.3.02.00,Donaciones de personas jurídicas,Ingresos,I,A,Mixta,General,Donaciones de empresas y organizaciones privadas.
4.3.03.00,Donaciones de entes públicos,Ingresos,I,A,Mixta,General,"Donaciones de alcaldías, gobernación, ministerios e instituciones públicas."
4.3.04.00,Subsidios y patrocinios institucionales,Ingresos,I,A,Mixta,General,Subsidios recibidos de organismos públicos o privados.
4.3.05.00,Donaciones en especie,Ingresos,I,A,Mixta,General,Donaciones de bienes o servicios valorizadas.
4.4.00.00,INGRESOS FINANCIEROS,Ingresos,I,A,Mixta,NA,Rendimientos y ganancias financieras.
4.4.01.00,Intereses bancarios,Ingresos,I,A,Mixta,General,Intereses generados por cuentas y depósitos.
4.4.02.00,Diferencias de cambio favorables,Ingresos,I,A,Mixta,General,Ganancias por variación del tipo de cambio.
4.4.03.00,Ganancia por revalorización de activos multimoneda,Ingresos,I,A,Mixta,General,Revalorización de activos en divisas/crypto.
4.5.00.00,OTROS INGRESOS,Ingresos,I,A,Mixta,NA,Otros ingresos no operativos.
4.5.01.00,Recuperación de cuentas incobrables,Ingresos,I,A,Mixta,General,Cobros de cuotas previamente incobrables.
4.5.02.00,Venta de activos,Ingresos,I,A,Mixta,General,Ingresos por venta de activos fijos.
4.5.03.00,Indemnizaciones y reintegros por daños,Ingresos,I,A,Mixta,General,Pagos por daños a equipos o materiales.
5.0.00.00,GASTOS,Gastos,G,D,Mixta,NA,Recursos que reducen el patrimonio del gremio.
5.1.00.00,GASTOS OPERATIVOS Y ADMINISTRATIVOS,Gastos,G,D,Mixta,NA,Gastos de funcionamiento ordinario de la asociación.
5.1.01.00,Honorarios y sueldos administrativos,Gastos,G,D,Mixta,General,Remuneraciones del personal y asesores de la asociación.
5.1.02.00,Arrendamiento y sede,Gastos,G,D,Mixta,General,"Alquiler de la sede, local o salas de ensayo."
5.1.03.00,Servicios básicos,Gastos,G,D,Bs,General,"Agua, luz, teléfono e internet."
5.1.04.00,Materiales de oficina y papelería,Gastos,G,D,Mixta,General,"Papelería, tintas y útiles de oficina."
5.1.05.00,Mantenimiento de equipos e instalaciones,Gastos,G,D,Mixta,General,"Mantenimiento de equipos, instrumentos y sede."
5.1.06.00,Transporte y movilización,Gastos,G,D,Mixta,General,Traslados y flete de equipos.
5.1.07.00,Comunicaciones y plataformas digitales,Gastos,G,D,USD,General,"Dominios, hosting, aplicaciones, Google Workspace, bots."
5.1.08.00,Gastos bancarios y comisiones,Gastos,G,D,Mixta,General,"Comisiones bancarias, IGTF y costos de plataformas de pago."
5.1.09.00,Seguros,Gastos,G,D,Mixta,General,Pólizas de seguros de la asociación.
5.1.10.00,"Registro, legal y notaría",Gastos,G,D,Mixta,General,"Protocolización, registro, notaría y asesoría legal."
5.2.00.00,GASTOS DE EVENTOS Y AUTOGESTIÓN,Gastos,G,D,Mixta,NA,Gastos de eventos y actividades de autogestión (Art. 6-A).
5.2.01.00,Honorarios de músicos,Gastos,G,D,Mixta,Autogestion,"Honorarios de los músicos participantes (100%, se pagan primero)."
5.2.02.00,Staff técnico,Gastos,G,D,Mixta,Autogestion,"Sonidistas, técnicos de luces, stage managers y montaje."
5.2.03.00,Producción y logística,Gastos,G,D,Mixta,Autogestion,"Alquiler de tarimas, sonido, iluminación y logística."
5.2.04.00,Promoción y publicidad de eventos,Gastos,G,D,Mixta,Autogestion,"Material gráfico, pauta y difusión de eventos."
5.2.05.00,Viáticos y dietas,Gastos,G,D,Mixta,Autogestion,Alimentación y alojamiento durante eventos y giras.
5.2.06.00,Alquiler de espacios,Gastos,G,D,Mixta,Autogestion,Alquiler de espacios para eventos.
5.2.07.00,Otros gastos del evento,Gastos,G,D,Mixta,Autogestion,Otros costos directos del evento con factura o recibo legalizado.
5.3.00.00,GASTOS DE BIENESTAR SOCIAL,Gastos,G,D,Mixta,NA,"Gastos del Fondo de Salud, Emergencias y Bienestar Social (Art. 2.b Estatutos)."
5.3.01.00,Cobertura médica de agremiados,Gastos,G,D,Mixta,Salud,Cobertura médica inmediata de los músicos agremiados.
5.3.02.00,Cobertura médica del grupo familiar,Gastos,G,D,Mixta,Salud,"Cobertura médica del cónyuge, hijos y padres del agremiado."
5.3.03.00,Ayudas de emergencia,Gastos,G,D,Mixta,Salud,Apoyos económicos de emergencia aprobados.
5.3.04.00,Gastos funerarios,Gastos,G,D,Mixta,Salud,Apoyo en gastos funerarios de agremiados y familiares directos.
5.3.05.00,Programas de bienestar social,Gastos,G,D,Mixta,General,"Conciertos benéficos, orquestas infantiles e inclusión musical (Art. 17 Estatutos)."
5.4.00.00,GASTOS DE FORMACIÓN,Gastos,G,D,Mixta,NA,Gastos de la Academia PROMUF y capacitación (Art. 2.d Estatutos).
5.4.01.00,Honorarios de instructores,Gastos,G,D,Mixta,Autogestion,Pago a facilitadores de talleres y cursos.
5.4.02.00,Materiales didácticos,Gastos,G,D,Mixta,Autogestion,Materiales para talleres y cursos.
5.4.03.00,Certificación y trámites SAPI,Gastos,G,D,Mixta,Autogestion,Trámites de propiedad intelectual ante el SAPI y certificaciones.
5.4.04.00,Infraestructura de formación,Gastos,G,D,Mixta,Autogestion,Espacios y equipos para actividades formativas.
5.5.00.00,GASTOS FINANCIEROS,Gastos,G,D,Mixta,NA,Gastos de carácter financiero.
5.5.01.00,Comisiones y cargos bancarios,Gastos,G,D,Mixta,General,"Comisiones de bancos, Zelle, Binance y plataformas."
5.5.02.00,Pérdidas por diferencia de cambio,Gastos,G,D,Mixta,General,Pérdidas por variación del tipo de cambio.
5.5.03.00,Intereses pagados,Gastos,G,D,Mixta,General,Intereses por préstamos u obligaciones.
5.6.00.00,OTROS GASTOS,Gastos,G,D,Mixta,NA,Otros egresos no operativos.
5.6.01.00,Gastos de representación,Gastos,G,D,Mixta,General,Atender relaciones institucionales del gremio.
5.6.02.00,Donaciones otorgadas,Gastos,G,D,Mixta,General,Donaciones que realiza la asociación a otras organizaciones.
5.6.03.00,Gastos extraordinarios y pérdidas,Gastos,G,D,Mixta,General,"Pérdidas, robos, daños y gastos no recurrentes."
5.6.04.00,Multas y sanciones administrativas,Gastos,G,D,Mixta,General,Multas de órganos públicos o administrativas.
6.0.00.00,CUENTAS DE ORDEN,Cuentas de Orden,CO,A,Mixta,NA,Registros de control y memoria sin efecto en el patrimonio.
6.1.00.00,AVALES Y SELLOS EMITIDOS,Cuentas de Orden,CO,A,Mixta,NA,Control de avales y sellos entregados (Comité Técnico).
6.1.01.00,Avales gremiales otorgados,Cuentas de Orden,CO,A,USD,Autogestion,Registro de avales otorgados a agrupaciones.
6.1.02.00,Sellos de Calidad PROMUF emitidos,Cuentas de Orden,CO,A,USD,Autogestion,Registro de sellos de calidad emitidos.
6.1.03.00,Constancias de validación de suplentes,Cuentas de Orden,CO,A,Mixta,Autogestion,Registro de validaciones de suplentes emitidas (Art. 14 Reglamento Comité Técnico).
6.2.00.00,COMPROMISOS Y CONTRATOS,Cuentas de Orden,CO,A,Mixta,NA,Compromisos contractuales firmados por la asociación.
6.2.01.00,Contratos de eventos firmados,Cuentas de Orden,CO,A,Mixta,Autogestion,Contratos de presentaciones y eventos.
6.2.02.00,Convenios y alianzas,Cuentas de Orden,CO,A,Mixta,General,Convenios con instituciones públicas o privadas.
6.3.00.00,BIENES EN CUSTODIA Y COMODATO,Cuentas de Orden,CO,A,Mixta,NA,Bienes de terceros en poder de la asociación.
6.3.01.00,Bienes recibidos en comodato,Cuentas de Orden,CO,A,Mixta,General,Equipos recibidos en préstamo de uso.
6.3.02.00,Documentación bajo custodia,Cuentas de Orden,CO,A,Mixta,General,"Actas, libros y documentos resguardados por el Tesorero (Art. 15.b Estatutos)."
